═══════════════════════════════════════════════════════════════
    LOG DE ALERTAS DE SEGURANÇA - Monitor eBPF
    Iniciado em: 2025-12-14 19:38:27
═══════════════════════════════════════════════════════════════

[2025-12-14 19:38:38.882] [PERIGO] [DEADLOCK_POTENCIAL] DEADLOCK POTENCIAL! Threads vão adquirir recursos em ordem diferente - risco de espera circular | Threads: [Thread-A,Thread-B] | Recursos: [R1,R2]
[2025-12-14 19:38:44.306] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5269ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:44.409] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5371ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:44.410] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5373ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:44.448] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:44.512] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5475ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:44.512] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5474ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:44.616] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5578ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:44.616] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5579ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:44.727] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5689ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:44.729] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5692ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:44.831] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5793ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:44.831] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5794ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:44.934] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5897ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:44.936] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5898ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.037] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6000ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.039] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6001ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.142] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6105ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.143] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6105ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.244] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6207ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.246] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6208ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.348] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6311ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.350] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6312ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.449] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6412ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.450] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:45.452] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6414ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.552] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6515ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.556] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6518ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.654] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6617ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.657] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6619ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.755] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6718ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.757] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6719ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.857] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6820ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.861] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6823ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:45.960] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6923ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:45.964] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6926ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:46.099] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7062ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:46.099] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7061ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:46.201] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7164ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:46.203] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7165ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:46.303] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7266ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:46.305] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7267ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:46.406] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7369ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:46.408] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7370ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:46.453] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:46.508] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7471ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:46.509] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7471ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:46.610] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7573ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:46.612] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7574ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:46.712] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7675ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:46.714] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7676ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:46.814] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7777ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:46.816] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7778ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:46.916] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7879ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:46.920] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7881ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.022] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7985ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:47.022] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7984ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.125] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8087ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.125] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8088ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:47.227] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8189ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.227] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8190ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:47.329] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8291ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.330] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8293ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:47.455] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:47.464] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8427ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:47.464] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8426ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.565] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8528ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:47.565] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8527ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.670] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8632ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.670] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8633ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:47.772] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8734ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.774] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8737ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:47.873] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8835ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.875] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8838ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:47.974] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8936ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:47.976] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8939ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.077] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9040ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.077] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9039ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:48.179] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9141ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:48.179] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9142ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.282] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9244ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:48.282] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9245ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.384] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9346ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:48.386] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9349ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.456] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:48.485] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9447ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:48.487] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9450ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.586] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9548ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:48.587] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9550ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.689] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9651ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:48.690] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9653ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.825] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9787ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:48.825] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9788ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.926] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9889ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:48.926] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9888ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.027] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9989ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.027] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9990ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.128] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10090ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.128] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10091ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.229] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10192ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.229] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10191ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.332] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10294ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.332] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10295ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.435] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10398ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.435] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10397ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.457] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:49.536] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10498ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.536] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10499ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.638] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10600ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.639] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10602ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.739] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10701ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.739] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10702ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.841] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10803ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:49.842] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10805ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.943] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10906ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:49.943] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10905ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.044] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11007ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.044] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11006ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.176] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11138ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.176] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11139ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.277] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11240ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.277] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11239ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.378] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11340ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.378] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11341ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.459] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:38:50.481] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11443ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.481] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11444ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.582] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11545ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.584] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11546ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.683] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11646ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.686] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11648ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.783] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11746ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.787] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11749ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.884] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11847ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.888] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11850ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:50.986] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11949ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:50.989] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11951ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:51.087] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12050ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:51.092] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12054ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:38:51.187] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12150ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:38:51.193] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12155ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
