═══════════════════════════════════════════════════════════════
    LOG DE ALERTAS DE SEGURANÇA - Monitor eBPF
    Iniciado em: 2025-12-14 19:39:40
═══════════════════════════════════════════════════════════════

[2025-12-14 19:40:02.693] [PERIGO] [DEADLOCK_POTENCIAL] DEADLOCK POTENCIAL! Threads vão adquirir recursos em ordem diferente - risco de espera circular | Threads: [Thread-A,Thread-B] | Recursos: [R1,R2]
[2025-12-14 19:40:08.403] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5557ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:08.405] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5559ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:08.506] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5660ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:08.507] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5661ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:08.608] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5762ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:08.608] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5762ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:08.709] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5863ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:08.711] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5865ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:08.723] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:08.811] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 5965ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:08.813] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 5967ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:08.912] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6066ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:08.914] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6068ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.014] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6168ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:09.016] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6170ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.116] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6270ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:09.117] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6271ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.218] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6372ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.218] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6372ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:09.319] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6473ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:09.319] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6473ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.422] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6576ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.423] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6577ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:09.523] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6677ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.524] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6678ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:09.625] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6779ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.627] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6781ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:09.725] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:09.727] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6881ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.729] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6883ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:09.828] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 6982ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.830] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 6984ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:09.930] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7084ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:09.931] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7085ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.032] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7186ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:10.032] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7186ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.133] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7287ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:10.133] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7287ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.236] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7390ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.236] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7390ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:10.338] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7492ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.340] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7494ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:10.440] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7594ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.441] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7595ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:10.541] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7695ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.543] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7697ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:10.643] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7797ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.645] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7799ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:10.727] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:10.744] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7898ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.747] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 7901ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:10.845] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 7999ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.848] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8002ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:10.946] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8100ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:10.950] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8104ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.048] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8202ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:11.050] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8204ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.150] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8304ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:11.152] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8306ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.251] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8405ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:11.253] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8407ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.353] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8507ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:11.355] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8509ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.455] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8609ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:11.457] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8611ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.557] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8711ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:11.558] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8712ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.658] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8812ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:11.659] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8813ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.729] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:11.760] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 8914ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:11.762] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 8916ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.862] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9016ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:11.864] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9018ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.978] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9132ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:11.978] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9132ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.079] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9233ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.079] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9233ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.182] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9336ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.182] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9336ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.284] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9438ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.284] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9438ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.385] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9539ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.387] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9541ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.487] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9641ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.488] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9642ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.590] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9744ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.590] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9744ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.692] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9846ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.692] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9846ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.730] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:12.793] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 9947ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.793] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 9947ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.895] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10049ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.895] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10049ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:12.996] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10150ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:12.997] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10151ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.099] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10253ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:13.099] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10253ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.200] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10354ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:13.200] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10354ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.329] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10483ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:13.329] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10483ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.431] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10585ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.431] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10585ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:13.533] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10687ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.533] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10687ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:13.633] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10787ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.635] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10789ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:13.731] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:13.736] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10890ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.737] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10891ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:13.837] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 10991ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.839] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 10993ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:13.939] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11093ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:13.941] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11095ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:14.040] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11194ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.042] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11196ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:14.142] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11296ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.143] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11297ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:14.244] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11398ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:14.244] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11398ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.345] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11499ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.345] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11499ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:14.446] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11600ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.447] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11601ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:14.547] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11701ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.550] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11704ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:14.648] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11802ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.651] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11805ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:14.732] [CRITICO] [DEADLOCK_CONFIRMADO] DEADLOCK CONFIRMADO! Espera circular detetada entre threads. | Threads: [Thread-A,Thread-B] | Recursos: [R2,R1]
[2025-12-14 19:40:14.751] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 11905ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.753] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 11907ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
[2025-12-14 19:40:14.852] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-B está à espera há 12006ms pelo recurso R1 | Threads: [Thread-B] | Recursos: [R1]
[2025-12-14 19:40:14.854] [CRITICO] [STARVATION] STARVATION detetada! Thread Thread-A está à espera há 12008ms pelo recurso R2 | Threads: [Thread-A] | Recursos: [R2]
